ID;Provincia;Localidad;Codigo postal;Direccion;Margen;Rotulo;Precio gasolina 95 E5;Precio gasolina 98 E5;Precio gasoleo A
37;ALBACETE;ALBACETE;2007;CALLE C- AUTOVIA C-V AVD. SEXTA, S-N;D;NATURGY ES  GNV ALBACETE;-1;-1;-1
38;ALBACETE;ALBACETE;2007;CARRETERA C-M 332 KM. 2,6;D;"INLOCOR S.L. ""CEPSA""";1.789;1.909;1.749
39;ALBACETE;ALBACETE;2007;MADRID-CARTAGENA km 248,5;I;REPSOL No ESTACION 97179;1.709;1.829;1.699
40;ALBACETE;ALBACETE;2007;POLIGONO AVDA. 3�, ESQUINA C-AUTOVIA, 69;D;ENERCOM CARBURANTES;1.709;1.839;1.629
41;ALBACETE;ALBACETE;2007;POLIGONO ROMICA C-4, 106;N;VILLAFUEL SL;1.61;-1;1.55
42;ALBACETE;ALBACETE;2007;AVENIDA PRIMERA, S-N;D;GMOIL;1.619;-1;1.579
43;ALBACETE;ALBACETE;2007;POLIGONO CAMPOLLANO AVENIDA -0-, 69;D;ABOIL;2.299;2.369;2.259
44;ALBACETE;ALBACETE;2080;AUTOVIA A-30 KM. 239,4;I;CEPSA;1.729;-1;1.725
45;ALBACETE;ALBACETE;2080;AUTOVIA A-30 KM. 239,4;D;CEPSA;1.719;1.851;1.705
46;ALBACETE;ALBACETE;2080;POLIGONO No 71, PARCELA 678, PARAJE HONDO DE LA MORENA S-N, S-N;D;CEPSA;1.799;1.939;1.759
47;ALBACETE;ALBACETE;2080;CARRETERA DE LAS PENAS KM 0+238 KM. 0,238;I;AREA LOS LLANOS;1.729;-1;1.659
48;ALBACETE;ALCADOZO;2124;CM-3203 km 41,9;I;CEPSA;1.799;-1;1.759
49;ALBACETE;ALCALA DEL JUCAR;2210;CARRETERA CM-3201 47,1 KM. 47,1;D;EL JUCAR;1.739;-1;1.659
50;ALBACETE;ALCARAZ;2300;CR N-322 276,5;D;REPSOL;1.799;1.949;1.739
51;ALBACETE;JARDIN [EL];2330;CARRETERA 322 KM. 302;I;REPSOL;1.679;-1;1.679
52;ALBACETE;ALMANSA;2640;AVENIDA MADRID, 11;N;CEPSA;1.724;-1;1.735
53;ALBACETE;ALMANSA;2640;CL AVDA. DE AYORA, S.N. A;D;REPSOL;1.719;1.879;1.729
54;ALBACETE;ALMANSA;2640;AUTOVIA A-31 KM. 143,350;I;CEPSA;1.769;1.839;1.749
55;ALBACETE;ALMANSA;2640;AVENIDA CIRCUNVALACION, 17;N;GASOLEOS S. ALMANSA;-1;-1;1.649
56;ALBACETE;ALMANSA;2640;CARRETERA N-430 BADAJOZ A VALENCIA KM. 594;D;GASOLINERA LOW COST PENADES;1.679;-1;1.599
57;ALBACETE;ALMANSA;2640;AVENIDA CIRCUNVALACION, 9;N;CEPSA;1.724;-1;1.735
58;ALBACETE;ALMANSA;2640;AUTOVIA A-31 KM. 140;D;SHELL;1.739;1.879;1.734
59;ALBACETE;ALMANSA;2640;AVENIDA CIRCUNVALACION, 26;N;CEPSA;1.749;-1;1.745
60;ALBACETE;ALMANSA;2640;AVENIDA INFANTE DON JUAN MANUEL, 8;D;QUALITY ALMANSA;1.649;-1;1.609
